time,open,high,low,close
1659681120,4160.75,4160.75,4160.25,4160.25
1659681180,4160.25,4161,4160.25,4161
1659681240,4161,4161.25,4161,4161.25
1659681300,4161.25,4161.25,4161,4161
1659681360,4161,4161,4160.25,4160.25
1659681420,4160.5,4160.5,4160,4160.5
1659681480,4160.5,4160.75,4159.75,4160
1659681540,4160,4160,4159.75,4160
1659681600,4160,4160,4159.75,4159.75
1659681660,4159.75,4159.75,4159.5,4159.75
1659681720,4159.5,4160,4159.25,4159.75
1659681780,4159.75,4160.25,4159.75,4159.75
1659681840,4160,4160,4159.5,4159.75
1659681900,4159.75,4160.25,4159.25,4160.25
1659681960,4160.25,4161,4160,4161
1659682020,4160.5,4160.75,4160.25,4160.25
1659682080,4160.25,4160.5,4160.25,4160.5
1659682140,4160.5,4160.5,4159.5,4159.5
1659682200,4159.75,4160.25,4159.75,4160
1659682260,4160,4161,4160,4160.5
1659682320,4160.75,4160.75,4160.5,4160.5
1659682380,4160.25,4160.25,4160.25,4160.25
1659682440,4160.25,4160.5,4160,4160.25
1659682500,4160.25,4160.25,4159.25,4159.5
1659682560,4159.25,4159.25,4158.25,4158.5
1659682620,4158.5,4159,4158.5,4158.5
1659682680,4158.25,4158.75,4158.25,4158.25
1659682740,4158.25,4158.5,4157.75,4157.75
1659682800,4158,4159.25,4157.25,4157.5
1659682860,4157.5,4157.75,4156.5,4156.75
1659682920,4157,4157.25,4156.75,4157
1659682980,4157,4157.5,4156.5,4157.5
1659683040,4157.5,4158.25,4157,4157.25
1659683100,4157,4158.25,4156.5,4157.25
1659683160,4157.25,4157.75,4156.75,4157.5
1659683220,4157.25,4158.5,4157.25,4158.25
1659683280,4158.5,4159,4158,4158.5
1659683340,4158.5,4159.5,4158,4159
1659683400,4159,4160,4159,4159.75
1659683460,4159.75,4160,4159,4159.5
1659683520,4159.75,4159.75,4158.75,4158.75
1659683580,4159,4159.25,4158.25,4158.75
1659683640,4159,4159.5,4158.5,4159.5
1659683700,4159.25,4159.75,4159.25,4159.75
1659683760,4160,4160,4158.75,4159
1659683820,4159,4159.25,4158,4158.25
1659683880,4158.25,4158.25,4157.5,4158
1659683940,4158.25,4158.25,4157.5,4158.25
1659684000,4158.5,4159.75,4158.5,4159.25
1659684060,4159.5,4160,4159.25,4159.75
1659684120,4159.75,4160.25,4159.5,4159.5
1659684180,4160,4160.25,4159.75,4160.25
1659684240,4160.25,4160.25,4159,4159.25
1659684300,4159.25,4159.75,4159.25,4159.5
1659684360,4159.75,4160.25,4159.75,4160.25
1659684420,4160.25,4160.25,4158.5,4159
1659684480,4159.25,4159.5,4158.75,4159.25
1659684540,4159.25,4159.5,4159,4159.25
1659684600,4159,4159.25,4158.75,4159
1659684660,4159.5,4160,4159.5,4160
1659684720,4160,4161.25,4160,4161
1659684780,4161,4161,4159.75,4160.25
1659684840,4160,4160,4158.75,4159.25
1659684900,4159.25,4160.25,4159.25,4159.25
1659684960,4159.5,4160.5,4159.5,4160.25
1659685020,4160.25,4160.25,4159.5,4159.75
1659685080,4159.75,4160,4158.75,4159
1659685140,4159.25,4159.5,4158.75,4159.5
1659685200,4159.25,4159.5,4158.75,4159
1659685260,4159.25,4159.5,4159,4159.25
1659685320,4159.75,4159.75,4159,4159.25
1659685380,4159.25,4160,4159.25,4160
1659685440,4160,4160.25,4159.5,4159.5
1659685500,4159.75,4159.75,4159.5,4159.75
1659685560,4159.5,4160.25,4159.5,4159.75
1659685620,4159.75,4159.75,4159,4159
1659685680,4159,4159.25,4157.25,4157.25
1659685740,4157.25,4157.5,4156,4156.75
1659685800,4156.75,4157,4156.25,4156.25
1659685860,4156.25,4156.5,4155.75,4156.5
1659685920,4156.5,4157,4156.25,4157
1659685980,4157,4157.25,4156.5,4157.25
1659686040,4157.25,4158,4157.25,4158
1659686100,4158.25,4158.25,4157.5,4157.5
1659686160,4157.75,4158.5,4157.75,4158.5
